爬取时间,作品名,作品ID,作品链接,评论者ID,评论者主页,短评内容,短评发布时间,星级评分数,短评有用数
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,ThomasDao,https://www.douban.com/people/153186723/,"
            
                好好的剧集愣是给看出了热血番的激情澎湃，最后一定要在苏联的地盘打败苏联专家，可真有编剧的！Beth童年地狱开局，但是后来相继遇上的各种人，尤其Jolene到底是什么绝世好友的帮助，加上天赐才华也算是lucky girl了，开局saber先生的五美元，收尾Jolene的3000美元，一个人一生又有多大几率能碰上这么比自己还重视自己的人？！所以，妈妈和养母去世一滴泪也没掉的Beth终于在看到地下室那面剪报墙决堤；都说Beth痴迷赢，那当然得赢了：人生第一场棋赛，桌子旁竟然还摆了个饮水器，仿佛就为着要羞辱女孩们蹩脚的棋艺，最后风光大杀四方才能告诉他们女孩是来真的，往后的人生无数的棋赛可能还会遇到无数饮水器，唯有次次痛击对手，才能在棋盘上赢回尊重（海豹式鼓掌）。
        ","
                    2020-10-26
                ",5,30
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,否定姬.bot,https://www.douban.com/people/diormomo/,"
            
                ＃不是把主角换成女性就可以光明正大地拍以才能为幌子的爽片了好伐、、
        ","
                    2020-10-29
                ",3,104
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Y门食客,https://www.douban.com/people/4590078/,"
            
                铺天盖地的都在喊这剧太爽了。我却看得数次想要弃剧，完全没体验到爽点。女性角色，二元化，要么天天想着穿衣打扮结婚生子，要么虽好美服但更痴迷于象棋挖掘自身天赋铸就成功。女主有超高天赋，但看不出她为何痴迷于象棋，除了好胜心强，就没别的了？几乎是女主一个人的独角戏，但全剧都没立起一个人，女主这个角色太空洞了。长大成人后的女主扮演者的表演也不喜欢，时时刻刻都知道有摄影机对着自己，比小演员差远了。
        ","
                    2020-11-01
                ",3,105
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,猫司令,https://www.douban.com/people/Queenie.Emika/,"
            
                别被预告片骗了。这剧既不致郁，也不诡吊，相反，它慷慨激昂，步步为营，最后一集甚至实现了社会主义和资本主义的大和谐。预告片里破碎的家庭，药物滥用，精神病和女性问题都是点缀，完全没有被深刻探讨。片子十分适合消遣，绝对不会太沉重。
        ","
                    2020-10-29
                ",4,27
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,OzonM,https://www.douban.com/people/mazy/,"
            
                爱情 金钱 名声 宗教 政治 国家利益全都靠边站，老娘只想下棋！原型是Bobby Fischer吗？
        ","
                    2020-10-26
                ",5,19
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Zoooom,https://www.douban.com/people/20242950/,"
            
                我爱了大女主爽剧
        ","
                    2020-10-24
                ",5,32
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Q,https://www.douban.com/people/queeenababy/,"
            
                人生虽然悲伤，但是当你拥有坚强和对身边善意的感知，便足够存活及赢下去。之所以剧情又燃又不觉得离地，是因为被养母、几个战友般男人，以及童年教他象棋的老头以及每一次与黑暗面的斗争所成就。这样的剧拜托请Netflix再来一打好吗。
        ","
                    2020-10-26
                ",5,14
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,大聪看电影,https://www.douban.com/people/1402913/,"
            
                节奏明快，每集麦高芬的制造点恰到好处，再加上体育竞技类型本身基因就很能带动观众情绪，看片时让人欲罢不能一集接一集的停不下来，在国际象棋复杂知识上也处理得简单易懂，让不懂国际象棋的人依然有很强的代入感。
不过在我看来《后翼弃兵》并不能称为神剧，离神剧还是有不小距离的，可能用优质精良的爽剧更贴合些，剧情结构甚至让我想到了《延禧攻略》别喷我知道两者品质上完全不是一个段位，不过两者都是女主一路开挂过关斩将，虽有失败但那些都是为了剧情起承转合之需要。
PS：安雅·泰勒-乔伊i了i了！
        ","
                    2020-11-04
                ",4,14
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Momo June,https://www.douban.com/people/pussio/,"
            
                真的爽剧 就是把之前开挂且套路的男主换成了女主 这么简单不如再多来点牛逼女主系列 男的嘛就是用来睡睡而已 谈情说爱多没意思 要的就是在男人的世界里赢得一席之地
        ","
                    2020-10-26
                ",,96
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,井颯,https://www.douban.com/people/summermonica/,"
            
                小伙都是四有青年 姑娘吊儿郎当逍遥法外
        ","
                    2020-10-25
                ",4,28
